{'reward_ctrl': -0.19475688626170531, 'reward_dist': -0.30473280942001846}
{'reward_ctrl': -0.050299246310300166, 'reward_dist': -0.30336460313008284}
{'reward_ctrl': -0.10845472756595657, 'reward_dist': -0.29951647775032153}
{'reward_ctrl': -0.62952576135905303, 'reward_dist': -0.29441202929828308}
{'reward_ctrl': -0.91427614003630553, 'reward_dist': -0.28744606325259064}
{'reward_ctrl': -0.34375365692743559, 'reward_dist': -0.27467925455652981}
{'reward_ctrl': -0.74305024328192015, 'reward_dist': -0.25422633903966185}
{'reward_ctrl': -1.4178891141253873, 'reward_dist': -0.22534854694172074}
{'reward_ctrl': -1.3633053912282536, 'reward_dist': -0.19893039301575896}
{'reward_ctrl': -0.85712067179681295, 'reward_dist': -0.18301935350346643}
{'reward_ctrl': -1.2742854562634029, 'reward_dist': -0.16324048681544925}
{'reward_ctrl': -0.32072183312159225, 'reward_dist': -0.12876027137608587}
{'reward_ctrl': -0.66116922462011973, 'reward_dist': -0.08645500339648983}
{'reward_ctrl': -1.299709293567936, 'reward_dist': -0.057831680957478336}
{'reward_ctrl': -0.031039734597902609, 'reward_dist': -0.065061112379291589}
{'reward_ctrl': -0.52255270484851701, 'reward_dist': -0.097883089603462953}
{'reward_ctrl': -0.026423994889903435, 'reward_dist': -0.13741337617640384}
{'reward_ctrl': -0.98160546534548632, 'reward_dist': -0.15772754092007216}
{'reward_ctrl': -0.10495604271107058, 'reward_dist': -0.15375944749534731}
{'reward_ctrl': -0.91988391340600484, 'reward_dist': -0.14803566349883959}
{'reward_ctrl': -0.094812019374053869, 'reward_dist': -0.1445444481745797}
{'reward_ctrl': -0.92983890162935645, 'reward_dist': -0.14171779371692272}
{'reward_ctrl': -0.22771367971344109, 'reward_dist': -0.13529887006990726}
{'reward_ctrl': -0.88629581400912805, 'reward_dist': -0.12778884553167996}
{'reward_ctrl': -0.210565790398482, 'reward_dist': -0.12045180145633905}
{'reward_ctrl': -0.034789442904872528, 'reward_dist': -0.11471935292948411}
{'reward_ctrl': -1.5875093534130884, 'reward_dist': -0.11577338908420171}
{'reward_ctrl': -0.79785594326864018, 'reward_dist': -0.12233026623609933}
{'reward_ctrl': -0.33722877081682889, 'reward_dist': -0.13874048505689451}
{'reward_ctrl': -0.26581296819708244, 'reward_dist': -0.16764088571506136}
{'reward_ctrl': -1.0724371020065813, 'reward_dist': -0.2032175655822224}
{'reward_ctrl': -0.62140206894872196, 'reward_dist': -0.24699603362517025}
{'reward_ctrl': -0.43718137624658748, 'reward_dist': -0.29203002954943752}
{'reward_ctrl': -1.0614561423031525, 'reward_dist': -0.32905919057011074}
{'reward_ctrl': -1.1093730264406663, 'reward_dist': -0.35070780386516898}
{'reward_ctrl': -0.91198547583593748, 'reward_dist': -0.34971042149100307}
{'reward_ctrl': -0.95317487289217295, 'reward_dist': -0.32568249723643206}
{'reward_ctrl': -1.078379804935738, 'reward_dist': -0.28615609462543812}
{'reward_ctrl': -0.76569387047834925, 'reward_dist': -0.23473366154645717}
{'reward_ctrl': -0.74770948544057603, 'reward_dist': -0.17114649977189009}
{'reward_ctrl': -0.1619238283724681, 'reward_dist': -0.14110115811716015}
{'reward_ctrl': -0.90805168669528047, 'reward_dist': -0.15120419965050619}
{'reward_ctrl': -0.23791137865633236, 'reward_dist': -0.1647902039688845}
{'reward_ctrl': -0.66169912317242296, 'reward_dist': -0.17686016865899576}
{'reward_ctrl': -0.76025238176264232, 'reward_dist': -0.18304329702635852}
{'reward_ctrl': -0.24377384133677732, 'reward_dist': -0.18912409175500922}
{'reward_ctrl': -0.72948109348692169, 'reward_dist': -0.19942281129276226}
{'reward_ctrl': -0.57887002717867442, 'reward_dist': -0.21196265646969878}
{'reward_ctrl': -0.9511250204625693, 'reward_dist': -0.22348640708352685}
{'reward_ctrl': -1.4141124565025895, 'reward_dist': -0.22912557926074301}
{'reward_ctrl': -0.33806021261352404, 'reward_dist': -0.088687887616062902}
{'reward_ctrl': -1.0757379171199115, 'reward_dist': -0.087862123887661583}
{'reward_ctrl': -0.27569968990693222, 'reward_dist': -0.079261146607327207}
{'reward_ctrl': -0.054768220010652707, 'reward_dist': -0.067101030730745193}
{'reward_ctrl': -1.1266617984423699, 'reward_dist': -0.056505046506281999}
{'reward_ctrl': -0.4911787757981535, 'reward_dist': -0.045041032745742775}
{'reward_ctrl': -0.32329508064024892, 'reward_dist': -0.032634720887054082}
{'reward_ctrl': -0.43672053331063959, 'reward_dist': -0.019857857179992017}
{'reward_ctrl': -0.60737970669933361, 'reward_dist': -0.02098636496062856}
{'reward_ctrl': -0.73116119867331308, 'reward_dist': -0.047167949415742268}
{'reward_ctrl': -0.20296497825821075, 'reward_dist': -0.088342125749167569}
{'reward_ctrl': -0.91498183734615113, 'reward_dist': -0.13601515589808993}
{'reward_ctrl': -0.068470278570190141, 'reward_dist': -0.18657832091423129}
{'reward_ctrl': -1.0821909357189863, 'reward_dist': -0.23179593253596381}
{'reward_ctrl': -0.27889189242965273, 'reward_dist': -0.25946942845864984}
{'reward_ctrl': -0.076006157786937228, 'reward_dist': -0.27539718661118917}
{'reward_ctrl': -0.69427671150482939, 'reward_dist': -0.28603538635597769}
{'reward_ctrl': -0.052611789865213851, 'reward_dist': -0.29024248505447425}
{'reward_ctrl': -0.1159789352857989, 'reward_dist': -0.28968312066439827}
{'reward_ctrl': -0.11135534297412267, 'reward_dist': -0.28411479633213504}
{'reward_ctrl': -0.6991562437851061, 'reward_dist': -0.27412124524820941}
{'reward_ctrl': -0.63086889607169672, 'reward_dist': -0.26144694042536232}
{'reward_ctrl': -0.54130125370420568, 'reward_dist': -0.24234880900875255}
{'reward_ctrl': -1.3431368194482984, 'reward_dist': -0.21568245598684818}
{'reward_ctrl': -1.1789906815768527, 'reward_dist': -0.18871160115912819}
{'reward_ctrl': -1.033613140882482, 'reward_dist': -0.17425197346948501}
{'reward_ctrl': -0.50906012816335089, 'reward_dist': -0.17538448597519249}
{'reward_ctrl': -1.0504845319175655, 'reward_dist': -0.17356594557127827}
{'reward_ctrl': -0.39687941787562869, 'reward_dist': -0.1712921619487022}
{'reward_ctrl': -0.77692807247596063, 'reward_dist': -0.16948655470149124}
{'reward_ctrl': -0.16454561119247271, 'reward_dist': -0.16563997406946479}
{'reward_ctrl': -0.73417879203603131, 'reward_dist': -0.15903845852734527}
{'reward_ctrl': -1.4108668807118527, 'reward_dist': -0.15282530461304561}
{'reward_ctrl': -1.0321171120420662, 'reward_dist': -0.14956950124630108}
{'reward_ctrl': -0.642890910638241, 'reward_dist': -0.1493517289598017}
{'reward_ctrl': -0.79622866975236339, 'reward_dist': -0.14686893658783215}
{'reward_ctrl': -1.2872933899346544, 'reward_dist': -0.13890624543271723}
{'reward_ctrl': -0.64990367527992743, 'reward_dist': -0.12386513171893723}
{'reward_ctrl': -0.8286787859137843, 'reward_dist': -0.10390143710155873}
{'reward_ctrl': -1.0438401424645893, 'reward_dist': -0.088204532332849098}
{'reward_ctrl': -0.50874804287033593, 'reward_dist': -0.076383689330897842}
{'reward_ctrl': -0.29865771193922802, 'reward_dist': -0.065945989055437748}
{'reward_ctrl': -0.80612014045221336, 'reward_dist': -0.057275806688612624}
{'reward_ctrl': -0.037414001997979965, 'reward_dist': -0.05917620706582525}
{'reward_ctrl': -0.35328333277633583, 'reward_dist': -0.074095970519265933}
{'reward_ctrl': -0.37819840874093025, 'reward_dist': -0.094245370631006187}
{'reward_ctrl': -1.1837666021538076, 'reward_dist': -0.11319327105250089}
{'reward_ctrl': -0.22990247096696792, 'reward_dist': -0.12613881556219741}
{'reward_ctrl': -0.53857409236456433, 'reward_dist': -0.13980723212103197}
{'reward_ctrl': -0.79855760850880875, 'reward_dist': -0.14973095964001784}
{'reward_ctrl': -0.2958862225384169, 'reward_dist': -0.10630053798514345}
{'reward_ctrl': -0.47039366491872747, 'reward_dist': -0.10745905544193916}
{'reward_ctrl': -1.6528127708495042, 'reward_dist': -0.11363067875811367}
{'reward_ctrl': -0.1373029975503012, 'reward_dist': -0.13295757849483575}
{'reward_ctrl': -0.63474461363053369, 'reward_dist': -0.1587311607043915}
{'reward_ctrl': -1.2823184031071437, 'reward_dist': -0.17819162652005649}
{'reward_ctrl': -0.33044319071883588, 'reward_dist': -0.18930956862072471}
{'reward_ctrl': -1.1861399722855257, 'reward_dist': -0.19465652031032019}
{'reward_ctrl': -0.18389795983856352, 'reward_dist': -0.20334003800839925}
{'reward_ctrl': -0.46957196904283383, 'reward_dist': -0.21853716561260503}
{'reward_ctrl': -0.62201930792617943, 'reward_dist': -0.23267610078755915}
{'reward_ctrl': -0.56046050080298415, 'reward_dist': -0.24062046963692055}
{'reward_ctrl': -1.2153801765432379, 'reward_dist': -0.24662498550000056}
{'reward_ctrl': -0.46435094225678852, 'reward_dist': -0.25503664526998054}
{'reward_ctrl': -1.0137393950156368, 'reward_dist': -0.26335029936619664}
{'reward_ctrl': -0.57093895027910868, 'reward_dist': -0.264413795973307}
{'reward_ctrl': -0.90130849212400255, 'reward_dist': -0.26311123958425564}
{'reward_ctrl': -0.36498414151844227, 'reward_dist': -0.26800919270555296}
{'reward_ctrl': -0.068639774237171255, 'reward_dist': -0.27838098917125326}
{'reward_ctrl': -0.22792206021730432, 'reward_dist': -0.29270344839285395}
{'reward_ctrl': -1.1146911326624354, 'reward_dist': -0.30866085487622236}
{'reward_ctrl': -0.54270364693566242, 'reward_dist': -0.32292982604528403}
{'reward_ctrl': -0.2313268268298459, 'reward_dist': -0.3351673798731471}
{'reward_ctrl': -0.41836644077547658, 'reward_dist': -0.34494483741268167}
{'reward_ctrl': -0.50510306590142495, 'reward_dist': -0.35131779410171554}
{'reward_ctrl': -0.85931191948145025, 'reward_dist': -0.35621479597150263}
{'reward_ctrl': -0.52892434457963211, 'reward_dist': -0.35928055210239518}
{'reward_ctrl': -1.3461059822143338, 'reward_dist': -0.36005398062288824}
{'reward_ctrl': -0.039441040571284516, 'reward_dist': -0.35766546073220301}
{'reward_ctrl': -1.0263514737751323, 'reward_dist': -0.35274504623657837}
{'reward_ctrl': -0.90773861563909231, 'reward_dist': -0.34625056474770188}
{'reward_ctrl': -1.6733429484840192, 'reward_dist': -0.33614656186556596}
{'reward_ctrl': -0.44073526416262498, 'reward_dist': -0.32497207969451419}
{'reward_ctrl': -0.22043385421812339, 'reward_dist': -0.31668383107903186}
{'reward_ctrl': -0.76136630376897141, 'reward_dist': -0.31012748759435327}
{'reward_ctrl': -1.4790312329219, 'reward_dist': -0.3023935029149355}
{'reward_ctrl': -0.95695812973604522, 'reward_dist': -0.29664601592177942}
{'reward_ctrl': -1.095485685660847, 'reward_dist': -0.29785415691722261}
{'reward_ctrl': -1.1373458659613707, 'reward_dist': -0.30445011377286657}
{'reward_ctrl': -0.62843258477215902, 'reward_dist': -0.31640378515431866}
{'reward_ctrl': -0.65840882967861214, 'reward_dist': -0.33325206032386584}
{'reward_ctrl': -1.0033330845673947, 'reward_dist': -0.35112857877042475}
{'reward_ctrl': -0.58856980711065598, 'reward_dist': -0.36407939881388984}
{'reward_ctrl': -0.93050961804069832, 'reward_dist': -0.37088029742868034}
{'reward_ctrl': -0.077837551218215159, 'reward_dist': -0.37527444416632239}
{'reward_ctrl': -0.59644567379239855, 'reward_dist': -0.37840270101365064}
{'reward_ctrl': -0.79981660715711422, 'reward_dist': -0.37941251971956252}
{'reward_ctrl': -0.30451687951680689, 'reward_dist': -0.3790268422786523}
